Home ID,Appliance Type,Energy Consumption (kWh),Time,Date,Outdoor Temperature (?C),Season,Household Size
430,Oven,0.83,19:48,02-04-2023,7.7,Spring,1
363,Dishwasher,1.09,3:28,11-03-2023,23,Winter,5
154,Heater,3.6,5:53,12-02-2023,0.6,Winter,4
98,Lights,1.65,19:37,22-05-2023,16.1,Spring,5
249,Dishwasher,1.72,18:46,02-01-2023,38.8,Winter,3
471,Lights,1.7,1:31,31-03-2023,0.8,Winter,5
53,TV,1.19,2:15,13-06-2023,5.3,Spring,3
233,Washing Machine,1.72,5:17,01-06-2023,22.3,Spring,1
494,Air Conditioning,3.08,22:05,06-01-2023,6.4,Winter,2
82,TV,1.54,8:25,30-01-2023,1.2,Winter,5
29,Computer,0.36,23:10,17-02-2023,38.3,Winter,1
353,Computer,0.62,16:27,26-05-2023,30.5,Spring,2
413,Air Conditioning,2.06,6:20,08-05-2023,-1.9,Spring,1
385,Lights,0.39,7:50,30-01-2023,31.5,Winter,3
478,Air Conditioning,5,23:19,13-06-2023,-3.9,Spring,1
176,Dishwasher,1.88,22:12,27-06-2023,7.9,Spring,4
469,Dishwasher,1.26,4:23,19-01-2023,24,Winter,5
354,Computer,1.56,10:32,06-01-2023,-2.8,Winter,3
475,Washing Machine,1.75,21:43,30-03-2023,-9.8,Winter,5
349,Fridge,0.39,1:39,22-05-2023,37.6,Spring,2
210,Heater,3.91,18:42,28-05-2023,-7.4,Spring,4
359,Oven,1.16,1:06,12-05-2023,5.9,Spring,2
189,TV,0.28,3:08,26-03-2023,-2.8,Winter,5
200,Microwave,1.13,18:36,18-05-2023,11.2,Spring,5
385,TV,0.35,10:14,11-03-2023,25.8,Winter,2
222,Lights,1.95,12:37,31-03-2023,28.5,Winter,5
382,Dishwasher,0.48,2:12,08-04-2023,30.4,Spring,4
485,Lights,0.6,23:25,03-01-2023,13.9,Winter,3
81,Computer,1.16,13:11,07-03-2023,-5.4,Winter,3
491,Washing Machine,1.25,20:49,17-02-2023,36.6,Winter,1
229,TV,1.55,7:34,15-06-2023,-0.5,Spring,2
43,Microwave,1.72,19:48,12-03-2023,34.5,Winter,1
298,Lights,0.81,17:25,25-03-2023,29,Winter,3
37,Oven,0.3,21:01,03-03-2023,38.6,Winter,3
496,Fridge,0.13,12:48,04-04-2023,28.9,Spring,1
465,Lights,0.85,21:51,27-03-2023,20.8,Winter,2
486,Air Conditioning,2.71,13:29,17-04-2023,8.1,Spring,1
269,Fridge,0.23,15:51,05-01-2023,8,Winter,1
149,Washing Machine,0.42,11:46,11-01-2023,17.6,Winter,4
452,Dishwasher,1.38,20:47,25-02-2023,7.8,Winter,3
301,Air Conditioning,2.89,8:08,05-03-2023,34.3,Winter,2
53,Heater,3.4,21:05,10-06-2023,2.6,Spring,1
422,Lights,1.35,12:13,20-03-2023,19.3,Winter,5
483,Washing Machine,1.85,19:35,18-04-2023,39.4,Spring,4
72,Oven,0.37,10:33,27-02-2023,18.5,Winter,5
443,Lights,0.76,1:43,18-01-2023,-2.8,Winter,2
401,Heater,4.95,14:21,02-05-2023,11,Spring,3
382,Computer,1.31,3:09,29-03-2023,12.6,Winter,3
125,Oven,1.44,6:06,23-05-2023,31.7,Spring,4
80,TV,1.31,7:53,28-05-2023,2.2,Spring,4
47,Oven,1.13,9:33,24-01-2023,8.4,Winter,1
446,Computer,1.73,4:33,09-03-2023,37.6,Winter,2
70,Lights,0.53,2:29,01-02-2023,35.1,Winter,5
135,Washing Machine,0.41,14:11,29-06-2023,0,Spring,5
3,Dishwasher,1.9,15:33,02-05-2023,-5.5,Spring,1
83,Air Conditioning,3.89,10:41,06-02-2023,17.6,Winter,5
190,Fridge,0.14,19:55,23-01-2023,1.6,Winter,3
275,Lights,0.37,13:36,16-01-2023,16.7,Winter,4
102,Washing Machine,1.58,6:09,13-04-2023,34,Spring,1
160,TV,1.29,11:21,02-06-2023,24.3,Spring,2
56,Oven,0.64,18:31,12-02-2023,12.1,Winter,1
76,Fridge,0.39,18:24,23-01-2023,33.6,Winter,3
80,Microwave,1.25,20:07,25-03-2023,4.6,Winter,3
441,Lights,1.72,16:24,09-01-2023,10,Winter,4
1,Oven,0.56,7:41,26-06-2023,25.5,Spring,5
430,Oven,1.73,5:08,17-06-2023,17.9,Spring,1
61,Computer,0.64,1:26,28-01-2023,36.8,Winter,1
187,Heater,4.6,7:34,02-06-2023,29,Spring,3
427,TV,1.49,16:38,26-03-2023,20.8,Winter,2
310,Air Conditioning,3.16,18:02,26-03-2023,27.5,Winter,1
460,Air Conditioning,4.36,11:11,19-02-2023,28.9,Winter,1
186,Lights,0.74,20:55,10-03-2023,-7.5,Winter,4
467,Lights,0.23,3:20,07-02-2023,23.5,Winter,2
54,Fridge,0.4,19:37,24-03-2023,10.9,Winter,3
175,Oven,0.44,23:03,09-03-2023,-5.2,Winter,1
265,Fridge,0.24,11:47,08-02-2023,11,Winter,1
489,Lights,0.66,7:35,20-04-2023,27.1,Spring,4
28,Microwave,1.78,2:24,20-05-2023,38.2,Spring,5
260,Oven,1.03,13:16,05-01-2023,19.6,Winter,5
61,Heater,3.5,15:09,28-04-2023,24.6,Spring,1
362,Microwave,1.7,6:25,31-05-2023,-8.7,Spring,1
13,Oven,0.87,8:34,15-05-2023,-5.6,Spring,5
259,TV,1.88,9:39,12-05-2023,30.8,Spring,3
379,Heater,2.47,8:30,24-02-2023,20.4,Winter,1
216,Microwave,1.17,16:19,08-01-2023,26.8,Winter,3
318,Fridge,0.42,13:18,10-03-2023,26.5,Winter,2
128,Fridge,0.16,12:01,25-01-2023,-0.8,Winter,2
269,Microwave,0.48,6:43,08-05-2023,-5.9,Spring,5
113,Lights,0.8,19:53,11-06-2023,34,Spring,3
465,Dishwasher,0.8,19:57,06-04-2023,2,Spring,3
133,Washing Machine,0.72,8:18,02-04-2023,37.2,Spring,5
242,Oven,1.88,14:41,09-04-2023,-2.6,Spring,4
292,Microwave,1.51,12:21,16-01-2023,-6.7,Winter,1
180,Microwave,1.62,16:16,05-02-2023,24.4,Winter,1
357,TV,1.5,9:32,16-05-2023,11.3,Spring,2
267,Fridge,0.38,6:53,06-06-2023,-4.9,Spring,3
137,Oven,0.52,3:00,22-02-2023,0.9,Winter,4
42,Heater,3.78,5:09,19-04-2023,5.4,Spring,2
111,Lights,1.8,0:22,08-01-2023,21.2,Winter,5
451,Washing Machine,0.64,11:10,14-04-2023,38.6,Spring,3
190,Heater,2.14,2:06,03-02-2023,32.1,Winter,4
235,Heater,3.21,18:03,04-03-2023,-5.6,Winter,5
404,Microwave,1.68,22:12,24-02-2023,-6.6,Winter,4
176,Microwave,1.25,2:32,27-05-2023,5.5,Spring,5
476,Fridge,0.39,18:47,20-01-2023,-9.9,Winter,2
380,Air Conditioning,2.09,10:18,02-03-2023,38.7,Winter,5
85,Fridge,0.47,21:07,26-01-2023,29.9,Winter,2
63,TV,1.79,14:20,14-01-2023,32.1,Winter,3
383,Air Conditioning,4.13,16:19,09-04-2023,22.1,Spring,4
167,Computer,1.67,9:45,09-01-2023,13.3,Winter,4
411,Oven,1.7,12:36,03-06-2023,-7.8,Spring,4
281,Microwave,1.74,17:08,25-06-2023,36.7,Spring,4
179,Dishwasher,0.61,14:29,07-05-2023,16.3,Spring,1
326,Air Conditioning,3.23,3:35,21-02-2023,23.4,Winter,4
292,Oven,0.28,15:53,19-06-2023,1.6,Spring,1
173,Microwave,1.73,1:18,16-02-2023,5.7,Winter,4
104,Dishwasher,0.51,22:37,27-06-2023,33,Spring,2
191,Computer,0.29,10:01,15-05-2023,16.3,Spring,3
487,Fridge,0.3,11:41,30-01-2023,-8.3,Winter,4
423,Lights,1.86,21:28,31-03-2023,-8.8,Winter,2
360,Fridge,0.18,16:29,16-05-2023,15.3,Spring,5
181,Microwave,0.92,6:49,18-02-2023,26.2,Winter,1
338,Oven,0.43,6:18,28-04-2023,23.5,Spring,1
20,Washing Machine,1.09,11:45,24-04-2023,7.5,Spring,5
84,TV,1.91,20:58,27-02-2023,-4.9,Winter,4
199,Air Conditioning,4.04,2:16,08-03-2023,26.5,Winter,2
146,Washing Machine,1.99,19:24,24-06-2023,26.5,Spring,2
87,Washing Machine,1.16,16:04,31-03-2023,35.8,Winter,2
339,TV,1.86,22:37,06-06-2023,19.5,Spring,5
133,Heater,2.38,15:18,14-04-2023,31.7,Spring,4
221,Lights,1.62,20:14,30-05-2023,37,Spring,1
197,Oven,1.09,20:11,13-04-2023,39.4,Spring,4
200,Air Conditioning,3.65,23:47,09-01-2023,-3.3,Winter,2
456,TV,1.37,4:17,23-03-2023,17.3,Winter,4
405,Oven,1.4,9:25,20-01-2023,19,Winter,1
39,Oven,0.84,8:27,06-05-2023,-1.9,Spring,3
372,Dishwasher,0.59,3:59,08-04-2023,3.8,Spring,3
151,Computer,0.5,2:18,20-03-2023,19.2,Winter,4
279,Computer,0.78,23:10,26-01-2023,-5.5,Winter,4
396,Lights,0.5,11:09,18-05-2023,23.5,Spring,4
8,Microwave,1.43,16:11,26-04-2023,-6.7,Spring,1
358,Fridge,0.24,10:05,05-03-2023,29.5,Winter,3
410,Washing Machine,1.98,18:36,20-02-2023,-6.9,Winter,1
465,Microwave,1.11,13:32,10-06-2023,32.3,Spring,3
442,Lights,0.91,23:23,27-02-2023,10.3,Winter,4
480,Washing Machine,0.59,12:37,02-03-2023,18.1,Winter,5
473,Dishwasher,0.29,17:33,03-04-2023,11.9,Spring,1
461,Dishwasher,1.71,19:31,28-04-2023,2.9,Spring,4
446,Air Conditioning,3.98,21:01,08-02-2023,0.7,Winter,4
482,Dishwasher,0.91,1:19,09-05-2023,11,Spring,3
240,Lights,1.32,15:27,29-01-2023,33.5,Winter,2
169,Fridge,0.22,15:28,09-02-2023,-0.4,Winter,2
277,Lights,1.66,7:30,16-05-2023,11.4,Spring,3
293,Microwave,0.98,2:11,04-02-2023,28.7,Winter,5
116,Lights,1.96,2:46,12-02-2023,3.4,Winter,3
120,Lights,1.83,15:40,26-06-2023,3.5,Spring,4
67,Air Conditioning,3.2,8:35,05-03-2023,20.5,Winter,1
477,Lights,0.47,14:46,01-04-2023,25.8,Spring,3
403,Computer,1.96,22:20,13-05-2023,17.9,Spring,3
210,Washing Machine,1.31,5:04,23-05-2023,18.6,Spring,5
224,Fridge,0.36,6:02,25-06-2023,35.4,Spring,2
179,Dishwasher,1.03,21:20,29-04-2023,-7.3,Spring,4
407,Computer,1.69,7:55,07-06-2023,20.9,Spring,2
362,Oven,0.96,20:09,30-03-2023,-2.4,Winter,5
160,Dishwasher,1.53,5:17,09-04-2023,39.8,Spring,3
